Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000003
FDW14,OUT017,1435.9121343749994
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2649.110232432434
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1879.2570116129036
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1435.9121343749994
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.4132673684207
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.839825899282
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.295775182481
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842535
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.839825899282
NCR06,OUT018,507.0464036697247
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.25244
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.8470218487387
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1649.2997860000003
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.295775182481
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.0464036697247
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1435.9121343749994
FDW12,OUT035,2286.4132673684207
