Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1849.5
FDW14,OUT017,1582.5
NCN55,OUT010,1892.0
FDQ58,OUT017,2612.5
FDY38,OUT027,5172.5
FDH56,OUT046,1912.5
FDL48,OUT018,594.0
FDC48,OUT027,2768.5
FDN33,OUT045,1517.5
FDA36,OUT017,3080.5
FDT44,OUT017,2000.5
FDQ56,OUT045,1313.5
NCC54,OUT019,1851.5
FDU11,OUT049,2039.5
DRL59,OUT013,885.5
FDM24,OUT049,2554.5
FDI57,OUT045,3097.5
DRC12,OUT018,2763.0
NCM42,OUT027,3185.0
FDA46,OUT010,1134.0
FDA31,OUT013,2794.5
NCJ31,OUT035,3883.5
FDG52,OUT046,802.5
NCL19,OUT019,378.5
FDS10,OUT035,3031.5
FDX22,OUT010,1446.0
NCF19,OUT035,917.5
NCE06,OUT046,2526.5
DRC27,OUT046,3841.5
FDE21,OUT035,2027.5
NCR42,OUT019,-1356.5
FDX51,OUT018,2858.0
NCR06,OUT018,426.5
FDU31,OUT027,4932.5
FDU59,OUT017,2714.5
FDR03,OUT027,4762.5
FDS49,OUT027,2753.5
FDD48,OUT010,-75.0
NCF18,OUT017,3114.5
NCD43,OUT027,3093.0
NCD54,OUT018,1987.5
FDY19,OUT010,-36.0
NCY54,OUT017,2814.5
NCL19,OUT018,2021.0
FDP23,OUT010,1532.0
FDC26,OUT013,1814.5
FDR14,OUT010,-1040.0
NCS41,OUT035,3039.5
FDF41,OUT035,4043.5
FDU34,OUT046,2000.5
DRH11,OUT046,917.5
FDM03,OUT013,1762.5
FDS31,OUT017,3054.5
FDJ20,OUT017,2096.5
FDV44,OUT027,4487.5
FDG02,OUT049,3096.5
FDA09,OUT013,2908.5
FDT04,OUT013,688.5
FDL58,OUT019,2293.5
FDE52,OUT045,1463.5
FDW12,OUT035,2505.5
FDL51,OUT017,3552.5
NCY42,OUT027,3680.0
FDR07,OUT017,1662.5
FDN40,OUT045,2381.5
