Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.869398933745
FDW14,OUT017,1592.7688951899538
NCN55,OUT010,1823.6013783761714
FDQ58,OUT017,2547.679276447831
FDY38,OUT027,5086.542414645028
FDH56,OUT046,1942.3258470147553
FDL48,OUT018,681.7314555943078
FDC48,OUT027,2804.9198375671995
FDN33,OUT045,1541.2643297624777
FDA36,OUT017,3052.2996379991005
FDT44,OUT017,2005.8426726840985
FDQ56,OUT045,1358.0512315298838
NCC54,OUT019,1818.1137922670505
FDU11,OUT049,2076.860606126615
DRL59,OUT013,962.7330823607389
FDM24,OUT049,2541.959170287587
FDI57,OUT045,3047.606553007942
DRC12,OUT018,2727.6057786443093
NCM42,OUT027,3195.20901044207
FDA46,OUT010,1129.7448144244186
FDA31,OUT013,2781.9372830046027
NCJ31,OUT035,3802.9799526548845
FDG52,OUT046,863.6519178111224
NCL19,OUT019,382.4697158240881
FDS10,OUT035,2986.820232432639
FDX22,OUT010,1453.609611654978
NCF19,OUT035,998.6193496975199
NCE06,OUT046,2519.5453924292556
DRC27,OUT046,3768.348332130591
FDE21,OUT035,2045.2165475382044
NCR42,OUT019,-1252.5488243171512
FDX51,OUT018,2841.575123367362
NCR06,OUT018,511.72532755119477
FDU31,OUT027,4871.438914760041
FDU59,OUT017,2685.766314768288
FDR03,OUT027,4667.133422423822
FDS49,OUT027,2768.667283986234
FDD48,OUT010,-11.192004636741672
NCF18,OUT017,3084.1278267828557
NCD43,OUT027,3103.3540302322667
NCD54,OUT018,2008.7343334018406
FDY19,OUT010,24.156478317886354
NCY54,OUT017,2783.9962760746507
NCL19,OUT018,2024.5970357024944
FDP23,OUT010,1510.0048523372589
FDC26,OUT013,1847.6817209428527
FDR14,OUT010,-930.5339299370703
NCS41,OUT035,2987.0706203084624
FDF41,OUT035,3971.494094089755
FDU34,OUT046,2004.5435095871812
DRH11,OUT046,983.8392213870818
FDM03,OUT013,1734.1614473285072
FDS31,OUT017,2966.2225475842415
FDJ20,OUT017,2117.3656119482303
FDV44,OUT027,4426.797852624515
FDG02,OUT049,3080.4832201886325
FDA09,OUT013,2877.2243093797256
FDT04,OUT013,743.319236011461
FDL58,OUT019,2223.0357409059197
FDE52,OUT045,1472.5324117273412
FDW12,OUT035,2500.5446205452113
FDL51,OUT017,3499.84038129338
NCY42,OUT027,3668.2199317597324
FDR07,OUT017,1705.0084055765706
FDN40,OUT045,2342.208730250198
FDB35,OUT027,2974.744827765025
FDA22,OUT017,2709.296829348462
NCL06,OUT046,4019.9244017003275
FDI35,OUT013,2888.574099567573
NCW42,OUT045,3358.936607617853
NCX06,OUT049,2926.4308254616662
FDC37,OUT027,3207.132369948508
FDZ14,OUT018,1760.2274621395818
DRG49,OUT049,3880.5374321453733
NCG06,OUT045,3875.839725310325
DRC36,OUT045,2697.299319492896
FDV21,OUT019,87.95550914491173
FDB53,OUT046,2335.343276838021
DRP47,OUT019,1968.051780160295
FDA14,OUT013,2345.574726738427
DRC24,OUT035,2559.587963006692
FDW21,OUT018,1432.351462997123
NCH29,OUT046,1574.1536939689445
FDU58,OUT013,3038.0574556131783
FDY27,OUT017,2889.643316452023
FDV56,OUT035,1978.802934402922
FDT59,OUT046,3588.0686718031557
FDB23,OUT046,3557.3545369142344
FDR49,OUT045,760.4481908704313
FDB03,OUT010,1879.6187651483406
FDN39,OUT045,2601.0089859614923
FDX02,OUT027,4892.6078817415955
FDQ16,OUT027,3195.499240462948
FDU35,OUT018,1350.7077901694752
NCT29,OUT013,1984.441120630813
FDZ27,OUT046,871.3275028069295
FDN57,OUT017,2352.7142810854293
FDA03,OUT018,2097.0513682696674
FDZ36,OUT045,2892.812409326939
NCU05,OUT013,1377.590967940446
FDT39,OUT018,2200.2097139396
FDK60,OUT017,1723.810249135343
FDZ25,OUT017,2810.6204737385733
FDG12,OUT046,1996.6753845671665
DRB01,OUT019,1082.175353631662
NCC43,OUT027,5256.679858345355
FDX13,OUT019,1978.4597419199345
FDM22,OUT049,1100.1817613902485
FDJ03,OUT027,2353.3359960260623
FDU14,OUT018,3605.725839573367
FDB33,OUT010,672.9222500761175
FDP27,OUT046,2974.9389724515036
FDO38,OUT010,-582.176316425923
FDE28,OUT027,5038.756089069464
FDO27,OUT035,1728.590249018706
DRL23,OUT027,3167.814114591642
FDS28,OUT046,1026.8532488877522
FDX24,OUT013,1576.0903673919042
FDZ02,OUT035,1784.232577470698
FDL46,OUT045,1839.2109989743865
FDS60,OUT027,4249.329242185951
NCO06,OUT017,718.3811289117464
FDO16,OUT035,1575.7669475701093
FDC60,OUT049,1593.823190652326
FDA48,OUT018,3144.4764305848707
FDZ36,OUT027,4384.065380229379
FDK27,OUT045,1908.2610422583361
FDW23,OUT018,472.53643193058684
FDM14,OUT018,1542.2076435391416
FDM14,OUT013,1814.5195614187369
FDW60,OUT018,2583.0999980976453
FDE21,OUT013,1936.9306700262864
NCM42,OUT035,1909.7987920526004
FDY59,OUT010,-324.3928682980194
DRI49,OUT049,1412.0068544378157
FDT28,OUT019,535.7202496634872
FDQ22,OUT018,493.49455074031556
FDR60,OUT049,1379.7782523388883
FDC50,OUT019,-341.5301448412023
FDV24,OUT013,2419.699103327942
DRF48,OUT010,1114.3450263148488
FDQ47,OUT046,720.452082610895
DRN36,OUT049,1683.7619574423948
NCY06,OUT035,2186.761486016887
FDE52,OUT035,1668.2717363538109
NCB54,OUT045,1960.122571627506
NCF31,OUT035,2544.4265983158994
FDJ08,OUT027,4389.709519170798
NCC07,OUT017,1827.7213729789758
NCD19,OUT027,2336.748634120922
